,source,target,numVisited,pathLength,uniqueVisited,performance
715,1580034899.0,3994361361.0,7,6,7,0.1428571428571429
716,1344566974.0,1580035042.0,5,4,5,0.19999999999999996
717,1580035240.0,1580035728.0,4,3,4,0.25
718,444336014.0,1344566974.0,5,4,5,0.19999999999999996
719,1580034748.0,1580035175.0,19,8,16,0.5789473684210527
720,1580034886.0,1580034967.0,8,5,7,0.375
721,1580034913.0,1580035061.0,42,6,35,0.8571428571428572
722,1580035065.0,1580035688.0,14,9,13,0.3571428571428571
723,1580034817.0,1580034888.0,10,3,9,0.7
724,1580034737.0,1580035065.0,98,15,40,0.846938775510204
725,1580034886.0,6051095781.0,63,19,38,0.6984126984126984
726,1580034964.0,1580035284.0,33,9,29,0.7272727272727273
727,1580035240.0,3249304311.0,59,5,35,0.9152542372881356
728,1344566966.0,1580035042.0,22,8,20,0.6363636363636364
729,1344566966.0,1344566969.0,2,2,2,0.0
730,444336014.0,1580035728.0,8,5,7,0.375
731,1580034884.0,1580035240.0,23,9,22,0.6086956521739131
732,1580034888.0,1580034964.0,24,5,18,0.7916666666666666
733,1580034527.0,1580035198.0,49,16,30,0.6734693877551021
734,1580034773.0,3249304311.0,131,14,41,0.8931297709923665
735,1344566966.0,1580035284.0,28,5,25,0.8214285714285714
736,1580035728.0,3249304311.0,60,7,36,0.8833333333333333
737,1580035021.0,1580035688.0,12,7,12,0.41666666666666663
738,1580034886.0,1580035021.0,12,11,11,0.08333333333333337
739,1580035031.0,6051095782.0,71,11,44,0.8450704225352113
740,1580034879.0,1580035284.0,33,9,28,0.7272727272727273
741,1580035175.0,3249304308.0,98,13,47,0.8673469387755102
742,1580035031.0,1580035728.0,11,6,10,0.4545454545454546
743,1580034945.0,1580035284.0,13,8,12,0.3846153846153846
744,444336009.0,1580034875.0,2,2,2,0.0
745,1580034964.0,3994361361.0,9,4,8,0.5555555555555556
746,1580034748.0,1580035284.0,32,12,28,0.625
747,444336009.0,1580034879.0,30,12,24,0.6
748,1580034527.0,1580035284.0,33,15,30,0.5454545454545454
749,1580034694.0,1580034884.0,22,8,21,0.6363636363636364
750,1580034913.0,1580035021.0,6,5,6,0.16666666666666663
751,1580034883.0,1580035728.0,18,9,18,0.5
752,1580034899.0,1580035728.0,26,13,25,0.5
753,1580034817.0,6051095781.0,55,17,38,0.6909090909090909
754,1580034896.0,1580035031.0,13,7,13,0.46153846153846156
755,1344566966.0,1580035198.0,41,6,29,0.8536585365853658
756,1580034884.0,1580034994.0,21,8,15,0.6190476190476191
757,3994361361.0,6051095782.0,69,9,42,0.8695652173913043
758,1580034886.0,1580034905.0,6,5,5,0.16666666666666663
759,1580034748.0,1580034899.0,59,12,36,0.7966101694915254
760,1344566973.0,1580035350.0,7,5,7,0.2857142857142857
761,1580034945.0,1580034967.0,9,7,9,0.2222222222222222
762,1580035175.0,3994361363.0,21,7,19,0.6666666666666667
763,1580034875.0,3249304311.0,108,14,41,0.8703703703703703
764,1344566974.0,1580034875.0,7,7,7,0.0
765,1580035065.0,1580035175.0,12,10,11,0.16666666666666663
766,3249304308.0,6051095782.0,3,3,3,0.0
767,1580035284.0,3249304309.0,3,3,3,0.0
768,1580035350.0,6051095781.0,26,7,26,0.7307692307692308
769,1580034879.0,1580034945.0,41,12,34,0.7073170731707317
770,1580034967.0,1580035021.0,2,2,2,0.0
771,1580034900.0,1580034994.0,25,7,18,0.72
772,1580034744.0,1580034888.0,12,7,11,0.41666666666666663
773,1580034883.0,1580034899.0,50,12,35,0.76
774,1580034883.0,1580034913.0,9,5,8,0.4444444444444444
775,1580034967.0,3249304308.0,89,11,46,0.8764044943820225
776,1580034527.0,1580034817.0,6,5,6,0.16666666666666663
777,1344566973.0,1580034883.0,6,5,6,0.16666666666666663
778,1580034920.0,3249304311.0,69,10,41,0.855072463768116
779,1580034884.0,6051095782.0,69,14,42,0.7971014492753623
780,1580035137.0,1580035728.0,6,3,6,0.5
781,1580034967.0,6051095782.0,82,11,42,0.8658536585365854
782,1580034744.0,6051095782.0,82,14,43,0.8292682926829268
783,1580034994.0,1580035175.0,7,7,7,0.0
784,1580034899.0,6051095781.0,5,4,4,0.19999999999999996
785,1344566973.0,1580034773.0,14,6,13,0.5714285714285714
786,1580034748.0,1580034918.0,22,10,20,0.5454545454545454
787,1344566974.0,1580034964.0,2,2,2,0.0
788,444336014.0,1580034945.0,4,4,4,0.0
789,1580034737.0,1580034744.0,5,4,5,0.19999999999999996
790,1580034744.0,1580035198.0,48,15,30,0.6875
791,1580034744.0,3249304309.0,63,12,41,0.8095238095238095
792,1580034900.0,3994361363.0,19,7,16,0.631578947368421
793,1580034896.0,1580035160.0,9,7,9,0.2222222222222222
794,1580034817.0,1580035031.0,18,6,16,0.6666666666666667
795,444336014.0,1580034967.0,7,6,7,0.1428571428571429
796,1580034945.0,1580034964.0,25,8,24,0.6799999999999999
797,1344566969.0,1580035021.0,9,5,9,0.4444444444444444
798,1580034888.0,1580034994.0,22,7,15,0.6818181818181819
799,1580035061.0,1580035284.0,13,7,12,0.46153846153846156
800,1580034737.0,6051095782.0,81,15,43,0.8148148148148149
801,1344566973.0,1580034888.0,5,3,4,0.4
802,1580034896.0,1580034899.0,50,9,36,0.8200000000000001
803,1344566966.0,1580035065.0,72,8,40,0.8888888888888888
804,1580034748.0,1580035021.0,13,9,13,0.3076923076923077
805,1580035065.0,3994361361.0,7,5,6,0.2857142857142857
806,1580034875.0,1580035728.0,20,9,19,0.55
807,1580034886.0,3249304308.0,108,15,46,0.8611111111111112
808,1580035240.0,1580035350.0,2,2,2,0.0
809,1580035137.0,1580035160.0,4,4,4,0.0
810,1580034918.0,3249304311.0,82,9,41,0.8902439024390244
811,444336014.0,1580034879.0,24,8,21,0.6666666666666667
812,1580034905.0,3249304311.0,80,9,41,0.8875
813,444336014.0,1580034964.0,27,7,23,0.7407407407407407
814,1580034694.0,1580034964.0,23,7,20,0.6956521739130435
815,1580035042.0,1580035284.0,12,6,11,0.5
816,1580034900.0,1580034913.0,5,3,5,0.4
817,1580034900.0,3249304308.0,95,12,45,0.8736842105263158
818,1580034886.0,1580035137.0,14,7,11,0.5
819,1580035021.0,1580035175.0,6,5,5,0.16666666666666663
820,1580035175.0,1580035728.0,10,5,8,0.5
821,444336014.0,1580034883.0,14,9,14,0.3571428571428571
822,1580035175.0,3249304309.0,35,8,25,0.7714285714285715
823,1580034888.0,1580035160.0,8,6,8,0.25
824,1580034694.0,1580035061.0,47,12,31,0.7446808510638299
825,1344566974.0,1580034886.0,11,9,11,0.18181818181818177
826,1344566973.0,1580034945.0,43,9,33,0.7906976744186046
827,1580034737.0,1580034994.0,22,12,20,0.4545454545454546
