,source,target,pathDistance,trueDistance,stretch
0,1580034748.0,1580034964.0,0.41804863588115476,0.4180486358811547,1.0000000000000002
1,1580034899.0,1580035065.0,0.7905922178765074,0.7905922178765074,1.0
2,1580034899.0,1580034945.0,0.9505474644506708,0.9505474644506708,1.0
3,444336009.0,1580034945.0,0.6182389335679382,0.6182389335679382,1.0
4,1580034744.0,1580034875.0,0.20796859610033183,0.2079685961003318,1.0000000000000002
5,1580035160.0,3249304308.0,0.8079446893557611,0.8079446893557611,1.0
6,1580034879.0,6051095782.0,0.8794172491943426,0.8794172491943426,1.0
7,444336014.0,1580035728.0,1.5937718149044207,1.5937718149044209,0.9999999999999999
8,1580034994.0,3994361361.0,0.15059432167002954,0.1505943216700295,1.0000000000000002
9,1580034773.0,1580035198.0,0.8769768487085576,0.8769768487085576,1.0
10,1580034737.0,6051095782.0,0.8702552284050376,0.8702552284050376,1.0
11,1580034918.0,3249304311.0,1.9261587599093453,1.9261587599093453,1.0
12,444336013.0,1580034905.0,0.43403459784074283,0.4340345978407428,1.0000000000000002
13,1580034884.0,1580034964.0,0.18971436221586835,0.1897143622158683,1.0000000000000002
14,1580034900.0,1580035728.0,1.8080020655427307,1.808002065542731,0.9999999999999999
15,1580034744.0,1580034879.0,0.30342248955275264,0.3034224895527526,1.0000000000000002
16,1580034888.0,1580035160.0,0.43759574651200595,0.4375957465120059,1.0000000000000002
17,1580034694.0,6051095781.0,1.1494554043586775,1.1494554043586775,1.0
18,1580035065.0,3249304311.0,0.4800369120136173,0.4800369120136173,1.0
19,1344566969.0,1580034817.0,0.21073699712162797,0.2107369971216279,1.0000000000000002
20,1580034905.0,1580034918.0,1.1978550868771096,1.1978550868771096,1.0
21,1580034879.0,3249304309.0,0.7709542616162871,0.7709542616162871,1.0
22,1580034920.0,1580035198.0,0.6353944134719288,0.6353944134719288,1.0
23,1580034896.0,3249304311.0,0.7208495500750672,0.7208495500750672,1.0
24,444336009.0,1344566973.0,0.5679458368795004,0.5189838677287637,1.094341986707621
25,1580034964.0,1580035061.0,0.22965966358429038,0.2296596635842903,1.0000000000000004
26,1580035240.0,3249304311.0,0.8309324586652387,0.8309324586652387,1.0
27,444336013.0,1580035175.0,0.7024509194533961,0.5493731651573541,1.27864075641954
28,444336013.0,1580034888.0,0.49356047928241514,0.4935604792824151,1.0000000000000002
29,1580034964.0,1580035065.0,0.24827632371644687,0.2482763237164468,1.0000000000000002
30,1580034994.0,6051095782.0,0.39932774234266966,0.3993277423426696,1.0000000000000002
31,1580034694.0,1580034884.0,0.5184741759345145,0.5184741759345145,1.0
32,1580034967.0,3249304311.0,0.7632295143105773,0.7632295143105773,1.0
33,1344566973.0,1580035175.0,0.36998938540541054,0.3366413892687405,1.0990608914997329
34,444336014.0,1580034884.0,0.46270260966023735,0.4548774540273302,1.0172027775033163
35,444336013.0,1580034886.0,0.5784408977460722,0.5784408977460722,1.0
36,1580034900.0,3994361361.0,0.24378568081627186,0.2437856808162718,1.0000000000000002
37,444336013.0,1580035021.0,0.2199324873533321,0.2199324873533321,1.0
38,1580034899.0,1580035160.0,1.2953008902871679,1.295300890287168,0.9999999999999998
39,1580034817.0,1580034875.0,0.28893595861264376,0.2889359586126437,1.0000000000000002
40,1580034994.0,1580035031.0,0.22725464508047008,0.22725464508047,1.0000000000000004
41,1344566966.0,1580035284.0,0.963004790911612,0.8794774941906611,1.094973773942694
42,1580034945.0,6051095781.0,0.4372237575664846,0.4372237575664846,1.0
43,1580034527.0,3249304311.0,1.9927199181433066,1.9927199181433064,1.0000000000000002
44,1580034773.0,1580035065.0,0.5317443317108622,0.5317443317108622,1.0
45,3249304309.0,3994361363.0,0.49524542663976356,0.4952454266397635,1.0000000000000002
46,1580034905.0,1580035031.0,0.1668633394853356,0.1668633394853356,1.0
47,1580034744.0,1580034913.0,0.45633385290658196,0.3114169049372208,1.4653470819080143
48,1580034694.0,1580035137.0,1.3484417583888768,1.3484417583888768,1.0
49,1580034875.0,1580034883.0,0.07286106356325248,0.0728610635632524,1.0000000000000009
50,1344566969.0,1580034913.0,0.4355445478278332,0.4341646505312078,1.003178281085153
51,444336014.0,1580035350.0,0.23105294865787535,0.2310529486578753,1.0000000000000002
52,1580035042.0,1580035061.0,0.005929828923335851,0.0059298289233358,1.0000000000000087
53,1580034527.0,1580034748.0,1.0407696059212226,1.0407696059212226,1.0
54,1580034748.0,1580034920.0,0.3266684517035946,0.3266684517035946,1.0
55,1580034899.0,3994361363.0,1.063118587015769,1.063118587015769,1.0
56,3249304309.0,3994361361.0,0.4395608809157239,0.4395608809157239,1.0
57,1580034737.0,1580035160.0,0.757754869803869,0.757754869803869,1.0
58,1580034945.0,1580034967.0,0.42088875713616325,0.4040163330878907,1.0417617375003552
59,1344566974.0,1580034899.0,0.9156015415068899,0.91560154150689,0.9999999999999999
60,1580034899.0,1580035175.0,1.5085232325743736,1.355445478278332,1.1129353830524256
61,444336014.0,1580034900.0,0.40053264226903695,0.3991527449724116,1.0034570657824757
62,1580034817.0,3249304309.0,0.8163694261425031,0.8163694261425031,1.0
63,444336009.0,1580035065.0,0.49551700725808767,0.4955170072580876,1.0000000000000002
64,444336013.0,1580034694.0,1.1283218421581096,0.8489782257370448,1.329035077641186
65,444336014.0,1580034744.0,0.5868895412773851,0.5868895412773851,1.0
66,1580034888.0,1580035031.0,0.22638922092700792,0.2263892209270079,1.0000000000000002
67,1580034886.0,1580035042.0,0.5712726994539699,0.5712726994539699,1.0
68,1580035175.0,1580035688.0,0.8332227247951192,0.8332227247951192,1.0
